Airbnb Host ID,Airbnb Property ID,superhost_period_all,Predicted_Occupancy_Rate
2613.0,2384.0,20.0,0.2451533861570003
5775.0,4505.0,20.0,0.30408050412653753
17928.0,7126.0,20.0,0.26373387630142453
33004.0,9811.0,20.0,0.2781224928679847
33004.0,10945.0,20.0,0.29232686915841727
101521.0,25879.0,20.0,0.09317370702215443
334241.0,71930.0,20.0,0.07066231201451365
272671.0,79101.0,20.0,0.03268548255036932
272671.0,110705.0,20.0,0.022984546980944043
626517.0,126280.0,20.0,0.8153595704479661
683529.0,145659.0,20.0,0.024708751103555096
683529.0,145690.0,20.0,0.05384412665509147
791089.0,166706.0,20.0,0.02452005250761406
3908.0,172616.0,20.0,0.3591706829404184
886362.0,184764.0,20.0,0.029806922254265088
899757.0,189821.0,20.0,0.2164573750869182
85708.0,198135.0,20.0,0.14340661532791243
1173654.0,225314.0,20.0,0.009049790693742257
1224828.0,233933.0,20.0,0.022419079394127524
272671.0,248791.0,20.0,0.012327804322360908
1387948.0,264547.0,20.0,0.034538396224270844
1517871.0,349265.0,20.0,0.027523072192228996
845242.0,350347.0,20.0,0.2818988494143696
1876597.0,372929.0,20.0,0.19566536588118746
1385332.0,395257.0,20.0,0.016442989020111223
782802.0,397472.0,20.0,0.11889764442274772
1844352.0,404792.0,20.0,0.06186257700892701
1802802.0,422214.0,20.0,0.017040036784707918
2414938.0,488097.0,20.0,0.9926123707127352
2501182.0,507517.0,20.0,0.06539978007196931
483146.0,533831.0,20.0,0.058158276359189916
2273840.0,542067.0,20.0,0.04700038192500475
2698691.0,548905.0,20.0,0.10761597262026477
2880338.0,584590.0,20.0,0.025956481828158733
2885441.0,585353.0,20.0,0.5398414585882501
2885441.0,585356.0,20.0,0.009283255072106936
2885441.0,589939.0,20.0,0.009212607661190557
2885441.0,628149.0,20.0,0.09409632014871201
2915265.0,634310.0,20.0,0.1997059778619181
3200044.0,640841.0,20.0,0.2744368367753716
81779.0,642053.0,20.0,0.052054983848957063
81779.0,642065.0,20.0,0.13615071808375107
3472696.0,681842.0,20.0,0.027882840518070745
2885441.0,724895.0,20.0,0.2167221726641006
3804977.0,731232.0,20.0,0.01269353969594195
3867687.0,739495.0,20.0,0.13564015265792304
3920450.0,755701.0,20.0,0.7376168130409249
2619611.0,764856.0,20.0,0.1335376493719751
2782694.0,789867.0,20.0,0.3657897389931267
2907254.0,790934.0,20.0,0.020510710647060067
3908.0,818109.0,20.0,0.13511892226975922
4367266.0,834943.0,20.0,0.43515359093471834
3217184.0,872247.0,20.0,0.2979033410393116
101521.0,887038.0,20.0,0.013719472173424823
4019426.0,903996.0,20.0,0.7114121787901218
5007980.0,929914.0,20.0,0.009073918077395325
5228189.0,960326.0,20.0,0.19225639137951722
5076708.0,983640.0,20.0,0.07429008126323651
5654677.0,1027405.0,20.0,0.02860943462122256
5654677.0,1027741.0,20.0,0.028615159721442497
5684259.0,1032943.0,20.0,0.033201772495058825
5830215.0,1056430.0,20.0,0.3215802310588523
1838943.0,1080532.0,20.0,0.014784645103775505
3965428.0,1083987.0,20.0,0.3216220610634747
6023157.0,1096191.0,20.0,0.1981093783628381
6109924.0,1113259.0,20.0,0.23733481133875703
2371848.0,1127661.0,20.0,0.14067637106828784
2658212.0,1171860.0,20.0,0.3526352024718854
6705392.0,1229238.0,20.0,0.05738088616290669
6705392.0,1229267.0,20.0,0.059399108317553094
370619.0,1278457.0,20.0,0.061509843599364886
7089017.0,1304049.0,20.0,0.020505496689088694
946954.0,1321332.0,20.0,0.11721714009460227
5684259.0,1333431.0,20.0,0.0045139922895519845
7391164.0,1361421.0,20.0,0.018906521769669168
2465946.0,1428589.0,20.0,0.0423137857663881
5402236.0,1434078.0,20.0,0.012308501055238766
2907254.0,1461451.0,20.0,0.02036688782182223
4081052.0,1468342.0,20.0,0.00413660160069668
2907254.0,1475647.0,20.0,0.28585313547943725
33004.0,1502674.0,20.0,0.4766583977271923
6088938.0,1554433.0,20.0,0.013745765326170606
8186262.0,1573401.0,20.0,0.11247297337572398
8442094.0,1584509.0,20.0,0.03474909455308569
4908881.0,1587078.0,20.0,0.19967993144272891
8489460.0,1591370.0,20.0,0.016425639766943355
8595700.0,1614802.0,20.0,0.06516296931314863
1426804.0,1648786.0,20.0,0.018801957155485462
8781008.0,1656336.0,20.0,0.21770790006660665
8813383.0,1663673.0,20.0,0.2532002862708838
531832.0,1668481.0,20.0,0.12492875955959014
2707385.0,1672647.0,20.0,0.20273497064966275
8852597.0,1678422.0,20.0,0.03778235058851107
2885441.0,1721045.0,20.0,0.06816326486962913
9192868.0,1746734.0,20.0,0.05782037086611534
9249272.0,1759266.0,20.0,0.030590652470950275
9339313.0,1778910.0,20.0,0.4746103860967064
8651445.0,1784523.0,20.0,0.05676128145545298
9483312.0,1810118.0,20.0,0.17483152283255465
9601147.0,1837153.0,20.0,0.01497677424415668
9959757.0,1921670.0,20.0,0.4676458849939675
3965428.0,1944802.0,20.0,0.012420326625318782
10129776.0,1960332.0,20.0,0.0447208724846493
10129776.0,1964520.0,20.0,0.24128254711754385
10129776.0,1965410.0,20.0,0.09091130969319616
10260239.0,1989590.0,20.0,0.022660078040476827
5166793.0,2011301.0,20.0,0.036703427877871786
7245979.0,2012443.0,20.0,0.6132609780763686
2465946.0,2075573.0,20.0,0.057683540495384156
1838943.0,2103986.0,20.0,0.007791768390203643
10917550.0,2139407.0,20.0,0.10214342352450957
9406905.0,2198953.0,20.0,0.03329512837445809
11365636.0,2227179.0,20.0,0.07210612161704898
1385332.0,2298310.0,20.0,0.018333456851404407
7391164.0,2305194.0,20.0,0.009343647888190249
7391164.0,2305230.0,20.0,0.09557552625154384
5228189.0,2396340.0,20.0,0.20292763293770902
12416635.0,2429295.0,20.0,0.07800564232375773
7000138.0,2437230.0,20.0,0.1241037626806596
12653262.0,2473938.0,20.0,0.053231237605917074
12681444.0,2479175.0,20.0,0.12024508106873591
2768314.0,2499596.0,20.0,0.12313256737716982
2153.0,2512247.0,20.0,0.5084454364506235
9313520.0,2512850.0,20.0,0.02675437876406772
12877384.0,2515629.0,20.0,0.11873423366974886
7858620.0,2519442.0,20.0,0.012292557845091898
2850286.0,2543231.0,20.0,0.012521928681338229
13066610.0,2552219.0,20.0,0.6194911078004425
5654677.0,2564678.0,20.0,0.012281537565576999
1214607.0,2570620.0,20.0,0.21092037581579193
3965428.0,2583929.0,20.0,0.008250140434179407
13237444.0,2585378.0,20.0,0.4622265926233742
1410585.0,2614364.0,20.0,0.012600227307946927
10363033.0,2658946.0,20.0,0.977184348840344
272671.0,2659670.0,20.0,0.03274717181244689
3965428.0,2661465.0,20.0,0.004096961808987533
13462463.0,2671680.0,20.0,0.08106006716139691
13783917.0,2693387.0,20.0,0.08351454014534646
13793246.0,2695259.0,20.0,0.005114625754826723
2153.0,2721621.0,20.0,0.00964661810042328
10347187.0,2764548.0,20.0,0.32975970211274724
2465946.0,2874467.0,20.0,0.02053247508500581
14692157.0,2874486.0,20.0,0.2464028946146338
6264764.0,2907112.0,20.0,0.01351525756765873
33561.0,2979322.0,20.0,0.012732131104924363
1368870.0,3053081.0,20.0,0.22540089626145698
209564.0,3083343.0,20.0,0.6223387090016385
9339313.0,3138825.0,20.0,0.16807773542050383
2465946.0,3143254.0,20.0,0.05149136716877
15997045.0,3151779.0,20.0,0.012325291991395744
16090300.0,3172794.0,20.0,0.06935071365332425
2676165.0,3267902.0,20.0,0.10245726491998182
5960265.0,3292054.0,20.0,0.06090492917513494
5960265.0,3293564.0,20.0,0.495961683099929
5960265.0,3295017.0,20.0,0.46112027624209373
16680094.0,3302759.0,20.0,0.9400069442204475
5960265.0,3303813.0,20.0,0.47302563231501865
16707041.0,3308694.0,20.0,0.012501337662511176
9995028.0,3385966.0,20.0,0.11746749241920772
8781008.0,3394750.0,20.0,0.08954835794144372
17405364.0,3453656.0,20.0,0.28433151995964195
4336170.0,3497096.0,20.0,0.1380219464419792
11294056.0,3517984.0,20.0,0.06594295484336925
2013410.0,3534562.0,20.0,0.38565538247612313
3920450.0,3570616.0,20.0,0.25491822315901796
3965428.0,3571862.0,20.0,0.020497571196122624
2058872.0,3585870.0,20.0,0.017434236430196436
12955486.0,3590692.0,20.0,0.23932584093542103
8607123.0,3639045.0,20.0,0.11426432662965087
1385332.0,3667996.0,20.0,0.031923423713861025
4982817.0,3676258.0,20.0,0.030066822189543894
2907254.0,3742513.0,20.0,0.025662724413688956
14015437.0,3761023.0,20.0,0.14337413041233302
19416379.0,3783533.0,20.0,0.0750126939096117
14205967.0,3826514.0,20.0,0.15350986713916687
689354.0,3835961.0,20.0,0.3505274591284271
3843347.0,3897045.0,20.0,0.0827712108140071
9339313.0,3898355.0,20.0,0.4904799716356786
16396473.0,3944822.0,20.0,0.13993921933556333
20490917.0,3953322.0,20.0,0.01695743907624697
20528154.0,3962072.0,20.0,0.01645298822319661
20624213.0,3979385.0,20.0,0.005342606815792756
21112154.0,4070426.0,20.0,0.004547771561172978
16864162.0,4075630.0,20.0,0.17365387798207335
21178487.0,4083903.0,20.0,0.16675337135767
10363033.0,4092283.0,20.0,0.9725646149216454
18649856.0,4105283.0,20.0,0.11924199729288913
16864162.0,4112130.0,20.0,0.3247403725639107
2441500.0,4150121.0,20.0,0.06298479035153359
6874747.0,4156913.0,20.0,0.012368075075850516
21572445.0,4157196.0,20.0,0.0681828009590825
15390297.0,4173269.0,20.0,0.3279069049324657
8852597.0,4178970.0,20.0,0.012804722746381845
21872907.0,4214683.0,20.0,0.02217776983344986
19809145.0,4218075.0,20.0,0.010105976138696982
21924626.0,4243309.0,20.0,0.04650355429341047
22022871.0,4243905.0,20.0,0.06739664754737755
151658.0,4263439.0,20.0,0.37964348284737154
19538870.0,4278432.0,20.0,0.08671811997977524
11156544.0,4288256.0,20.0,0.035911675221724594
21815643.0,4301222.0,20.0,0.11857357764002656
2907254.0,4365466.0,20.0,0.2868675502181451
10691960.0,4370895.0,20.0,0.020359561224158034
22810362.0,4394093.0,20.0,0.03664469904082098
8065811.0,4395112.0,20.0,0.21043759595644307
23128169.0,4457161.0,20.0,0.08693363777817642
20059524.0,4503332.0,20.0,0.008377962811585569
2169532.0,4567558.0,20.0,0.005367585521810361
23803571.0,4592031.0,20.0,0.03825388934763543
1649647.0,4598631.0,20.0,0.11952383498781688
13389580.0,4631385.0,20.0,0.04884891859389225
1563534.0,4632510.0,20.0,0.011211822745936833
5166793.0,4667333.0,20.0,0.03780446344851333
10363033.0,4668682.0,20.0,0.9806585832559483
24287571.0,4698247.0,20.0,0.039940369050276446
24451760.0,4736295.0,20.0,0.12020339138651902
24671850.0,4785815.0,20.0,0.3534861706519088
